Stock Symbol,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry,Last Update
XXII,"22nd Century Group, Inc",1.33,120628490.3,n/a,Consumer Non-Durables,Farming/Seeds/Milling,4/26/17
FAX,Aberdeen Asia-Pacific Income Fund Inc,5,1266332595,1986,n/a,n/a,4/25/17
IAF,Aberdeen Australia Equity Fund Inc,6.15,139865304.9,n/a,n/a,n/a,4/23/17
CH,"Aberdeen Chile Fund, Inc.",7.2201,67563457.57,n/a,n/a,n/a,4/26/17
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,13.36,128842971.6,n/a,n/a,n/a,4/25/17
FCO,"Aberdeen Global Income Fund, Inc.",8.62,75376107.36,1992,n/a,n/a,4/25/17
IF,"Aberdeen Indonesia Fund, Inc.",7.3299,68200145.64,1990,n/a,n/a,4/26/17
ISL,"Aberdeen Israel Fund, Inc.",17.65,70564682.35,1992,n/a,n/a,4/23/17
ACU,Acme United Corporation.,27.39,91138992.45,1988,Capital Goods,Industrial Machinery/Components,4/23/17
AIII,"ACRE Realty Investors, Inc.",1.16,23768939.4,n/a,Consumer Services,Real Estate Investment Trusts,4/25/17
ATNM,"Actinium Pharmaceuticals, Inc.",1.47,82037380.74,n/a,Health Care,Major Pharmaceuticals,4/25/17
AE,"Adams Resources & Energy, Inc.",37.8,159425128.8,n/a,Energy,Oil Refining/Marketing,4/25/17
ADK,Adcare Health Systems Inc,1.06,21122620,n/a,Health Care,Hospital/Nursing Management,4/23/17
ADK^A,Adcare Health Systems Inc,21.946,0,n/a,n/a,n/a,4/25/17
ACY,AeroCentury Corp.,10,15666990,n/a,Technology,Diversified Commercial Services,4/25/17
AIRI,Air Industries Group,3.08,23356148.2,n/a,Capital Goods,Military/Government/Technical,4/24/17
AXU,Alexco Resource Corp,1.54,144208863.3,n/a,Basic Industries,Precious Metals,4/25/17
AAU,"Almaden Minerals, Ltd.",1.72,154891744.8,2015,Basic Industries,Precious Metals,4/25/17
APT,"Alpha Pro Tech, Ltd.",2.75,42381773.5,n/a,Health Care,Industrial Specialties,4/26/17
AAMC,Altisource Asset Management Corp,72,106593336,n/a,Finance,Real Estate,4/24/17
DIT,AMCON Distributing Company,96.05,65211994.9,n/a,Consumer Non-Durables,Food Distributors,4/24/17
ADGE,American DG Energy Inc.,0.3249,16467262.47,n/a,Public Utilities,Power Generation,4/24/17
ALN,American Lorain Corporation,0.5599,21429886.95,n/a,Consumer Non-Durables,Packaged Foods,4/24/17
AMS,American Shared Hospital Services,4.55,24879400,n/a,Health Care,Medical Specialities,4/25/17
USAS,Americas Silver Corporation,3.05,120694837.9,2017,Basic Industries,Precious Metals,4/26/17
AMPE,"Ampio Pharmaceuticals, Inc.",0.5885,33687013.51,n/a,Health Care,Major Pharmaceuticals,4/24/17
APHB,AmpliPhi Biosciences Corporation,0.3515,5795574.18,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/23/17
AXN,"Aoxing Pharmaceutical Company, Inc.",0.3841,29271951.8,n/a,Health Care,Major Pharmaceuticals,4/23/17
ARNC^,Arconic Inc.,89.75,0,n/a,n/a,n/a,4/26/17
AKG,Asanko Gold Inc.,2.67,542754147.7,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),4/24/17
AINC,Ashford Inc.,57.3373,115550771.3,2014,Consumer Services,Professional Services,4/23/17
ASB.WS,Associated Banc-Corp,n/a,0,n/a,n/a,n/a,4/23/17
AST,"Asterias Biotherapeutics, Inc.",3.05,149305567.3,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/25/17
AST.WS,"Asterias Biotherapeutics, Inc.",n/a,0,n/a,n/a,n/a,4/23/17
AUXO,"Auxilio, Inc.",6.3043,59131036.85,2017,Miscellaneous,Business Services,4/25/17
AWX,Avalon Holdings Corporation,2.34,8899794.54,n/a,Public Utilities,Environmental Services,4/25/17
ASM,Avino Silver,1.84,96491441.84,n/a,Basic Industries,Precious Metals,4/24/17
BTG,B2Gold Corp,2.89,2812162555,n/a,Basic Industries,Precious Metals,4/23/17
BTN,"Ballantyne Strong, Inc",6.2,88420649,n/a,Miscellaneous,Industrial Machinery/Components,4/25/17
BKJ,"Bancorp of New Jersey, Inc",16.15,102188979.7,n/a,Finance,Major Banks,4/26/17
BCV,Bancroft Fund Limited,20.96,108564416,n/a,n/a,n/a,4/25/17
BCV^A,Bancroft Fund Limited,25.03,0,n/a,n/a,n/a,4/24/17
BAA,BANRO CORPORATION,0.1492,45130364.53,n/a,Basic Industries,Precious Metals,4/26/17
BHB,"Bar Harbor Bankshares, Inc.",28.16,433232053.8,n/a,Finance,Major Banks,4/24/17
BRN,"Barnwell Industries, Inc.",1.81,14072456.78,n/a,Energy,Oil & Gas Production,4/24/17
BGSF,BG Staffing Inc,14.9,130225672.2,n/a,Technology,Professional Services,4/25/17
BPMX,BioPharmX Corporation,0.6999,47396931.94,2015,Health Care,Major Pharmaceuticals,4/25/17
BTX,"BioTime, Inc.",3.26,361383238,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/23/17
BTX.WS,"BioTime, Inc.",n/a,0,n/a,n/a,n/a,4/23/17
BGI,Birks Group Inc.,1.55,27839365.55,n/a,Consumer Services,Consumer Specialties,4/23/17
BZM,BlackRock Maryland Municipal Bond Trust,14.5202,30191285.57,2002,n/a,n/a,4/24/17
MHE,BlackRock Massachusetts Tax-Exempt Trust,13.57,32124369.56,1993,n/a,n/a,4/23/17
BLE,BlackRock Municipal Income Trust II,15.2,357053669.6,2002,n/a,n/a,4/25/17
BLJ,Blackrock New Jersey Municipal Bond Trust,14.81,34458560.29,2002,n/a,n/a,4/23/17
BFY,BlackRock New York Municipal Income Trust II,14.8,74068805.2,2002,n/a,n/a,4/25/17
BHV,BlackRock Virginia Municipal Bond Trust,16.2101,25895699.59,2002,n/a,n/a,4/26/17
BDR,"Blonder Tongue Laboratories, Inc.",0.525,4263963.375,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,4/25/17
BRG,"Bluerock Residential Growth REIT, Inc.",12.57,303793884.3,2014,Consumer Services,Real Estate Investment Trusts,4/26/17
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.38,0,n/a,n/a,n/a,4/23/17
BRG^C,"Bluerock Residential Growth REIT, Inc.",25.7,0,n/a,n/a,n/a,4/25/17
BRG^D,"Bluerock Residential Growth REIT, Inc.",24.85,0,n/a,n/a,n/a,4/25/17
