Stock Symbol,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry,Last Update
AAPL,Apple Inc.,141.05,7.40E+11,1980,Technology,Computer Manufacturing,4/26/17
GOOGL,Alphabet Inc.,840.18,5.81E+11,NAN,Technology,"Computer Software: Programming, Data Processing",4/24/17
GOOG,Alphabet Inc.,823.56,5.69E+11,2004,Technology,"Computer Software: Programming, Data Processing",4/23/17
MSFT,Microsoft Corporation,64.95,5.02E+11,1986,Technology,Computer Software: Prepackaged Software,4/26/17
AMZN,"Amazon.com, Inc.",884.67,4.22E+11,1997,Consumer Services,Catalog/Specialty Distribution,4/24/17
FB,"Facebook, Inc.",139.39,4.03E+11,2012,Technology,"Computer Software: Programming, Data Processing",4/26/17
CMCSA,Comcast Corporation,37.14,1.76E+11,NAN,Consumer Services,Television Services,4/26/17
INTC,Intel Corporation,35.25,1.66E+11,NAN,Technology,Semiconductors,4/23/17
CSCO,"Cisco Systems, Inc.",32.42,1.62E+11,1990,Technology,Computer Communications Equipment,4/23/17
AMGN,Amgen Inc.,161.61,1.19E+11,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/24/17
KHC,The Kraft Heinz Company,91.5,1.11E+11,NAN,Consumer Non-Durables,Packaged Foods,4/26/17
CHTR,"Charter Communications, Inc.",330,1.01E+11,NAN,Consumer Services,Television Services,4/26/17
CELG,Celgene Corporation,124.45,96817927316,1987,Health Care,Major Pharmaceuticals,4/26/17
WBA,"Walgreens Boots Alliance, Inc.",82.48,89156829737,NAN,Health Care,Medical/Nursing Services,4/25/17
GILD,"Gilead Sciences, Inc.",66.51,86944305401,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/24/17
PCLN,The Priceline Group Inc. ,1738.77,85496045967,1999,Miscellaneous,Business Services,4/25/17
AVGO,Broadcom Limited,211.32,84815916315,2009,Technology,Semiconductors,4/26/17
SBUX,Starbucks Corporation,57.51,83815074000,1992,Consumer Services,Restaurants,4/23/17
QCOM,QUALCOMM Incorporated,52.79,77972996343,1991,Technology,Radio And Television Broadcasting And Communications Equipment,4/25/17
TXN,Texas Instruments Incorporated,77.84,77811956817,NAN,Technology,Semiconductors,4/26/17
COST,Costco Wholesale Corporation,168.84,74110834909,NAN,Consumer Services,Department/Specialty Retail Stores,4/26/17
MDLZ,"Mondelez International, Inc.",44.04,67139195400,NAN,Consumer Non-Durables,Packaged Foods,4/24/17
ADBE,Adobe Systems Incorporated,129.05,63840776384,1986,Technology,Computer Software: Prepackaged Software,4/23/17
NFLX,"Netflix, Inc.",142.92,61514424872,2002,Consumer Services,Consumer Electronics/Video Chains,4/24/17
BIIB,Biogen Inc.,271.88,58713014807,NAN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/23/17
NVDA,NVIDIA Corporation,95.49,56772335647,1999,Technology,Semiconductors,4/23/17
FOX,"Twenty-First Century Fox, Inc.",29.86,55265925247,NAN,Consumer Services,Television Services,4/23/17
TMUS,"T-Mobile US, Inc.",64.04,52930713577,NAN,Public Utilities,Telecommunications Equipment,4/24/17
PYPL,"PayPal Holdings, Inc.",42.55,51382666607,NAN,Miscellaneous,Business Services,4/26/17
TSLA,"Tesla, Inc. ",304,49614832848,2010,Capital Goods,Auto Manufacturing,4/26/17
AMOV,"America Movil, S.A.B. de C.V.",14.64,47992848000,NAN,Public Utilities,Telecommunications Equipment,4/25/17
BIDU,"Baidu, Inc.",172.61,47500891120,2005,Technology,"Computer Software: Programming, Data Processing",4/23/17
QQQ,"PowerShares QQQ Trust, Series 1",130.4,46376760000,NAN,NAN,NAN,4/25/17
ADP,"Automatic Data Processing, Inc.",101.26,45455875453,NAN,Technology,EDP Services,4/25/17
YHOO,Yahoo! Inc.,46.9,44859250477,1996,Technology,EDP Services,4/25/17
CSX,CSX Corporation,46.42,43005669415,NAN,Transportation,Railroads,4/23/17
AMAT,"Applied Materials, Inc.",37.52,40515259233,1972,Technology,Semiconductors,4/26/17
ESRX,Express Scripts Holding Company,66.47,39902792348,1992,Health Care,Medical/Nursing Services,4/24/17
CME,CME Group Inc.,115.87,39372418940,2002,Finance,Investment Bankers/Brokers/Service,4/26/17
REGN,"Regeneron Pharmaceuticals, Inc.",370.37,39289129229,1991,Health Care,Major Pharmaceuticals,4/24/17
FOXA,"Twenty-First Century Fox, Inc.",30.43,37153202952,NAN,Consumer Services,Television Services,4/24/17
