Country,Income per Capita
Afghanistan,1925.165228
Albania,11479.08746
Algeria,14688.2033
Angola,7386.700843
Antigua and Barbuda,23062.27827
Argentina,20338.18906
Armenia,8418.72779
Australia,46270.79934
Austria,49429.55555
Azerbaijan,17779.77376
"Bahamas, The",23001.00715
Bahrain,46586.0687
Bangladesh,3339.589283
Barbados,16405.7626
Belarus,17740.51373
Belgium,45757.45781
Belize,8483.516867
Benin,2056.700772
Bhutan,8369.82535
Bolivia,6953.8271
Bosnia and Herzegovina,10851.71863
Botswana,15839.30239
Brazil,15473.69364
Brunei Darussalam,78369.29102
Bulgaria,18248.77994
Burkina Faso,1696.025601
Burundi,727.1507895
Cabo Verde,6556.494711
Cambodia,3490.419028
Cameroon,3115.278819
Canada,44261.838
Central African Republic,618.7528586
Chad,2175.821947
Chile,23366.58391
China,14450.71622
Colombia,13829.06823
Comoros,1483.440932
"Congo, Dem. Rep.",784.3652321
"Congo, Rep.",6381.087257
Costa Rica,15594.63582
Cote d'Ivoire,3513.684726
Croatia,22514.41659
Cuba,22377.04892
Cyprus,31539.4538
Czech Republic,33770.47593
Denmark,49020.39451
Djibouti,3491.380145
Dominica,10864.53842
Dominican Republic,14237.06196
Ecuador,11474.14077
"Egypt, Arab Rep.",10913.43317
El Salvador,8619.580946
Equatorial Guinea,40718.82968
Estonia,28987.75834
Ethiopia,1628.923132
Fiji,9323.198408
Finland,42309.38927
France,41016.6515
Gabon,20081.02749
"Gambia, The",1679.684387
Georgia,9599.482204
Germany,48041.70141
Ghana,4210.498292
Greece,26379.26353
Grenada,13558.54522
Guatemala,7722.430217
Guinea,1208.986093
Guinea-Bissau,1455.803634
Guyana,7521.728758
Haiti,1757.435678
Honduras,5095.204056
"Hong Kong SAR, China",56923.49054
Hungary,26457.58345
Iceland,47717.23742
India,6104.576245
Indonesia,11057.56072
Iraq,15394.76875
Ireland,68513.97407
Israel,36575.94165
Italy,37217.38433
Jamaica,8872.907305
Japan,40763.4037
Jordan,10902.47325
Kazakhstan,25044.87801
Kenya,3088.794229
Kiribati,1994.767601
"Korea, Rep.",34647.07478
Kosovo,9733.915241
Kuwait,74645.48246
Kyrgyz Republic,3433.680163
Lao PDR,5691.257819
Latvia,24899.18457
Lebanon,13936.25829
Lesotho,2949.513387
Liberia,835.3669347
Lithuania,28936.20626
Luxembourg,102051.6803
"Macao SAR, China",111496.6294
"Macedonia, FYR",14076.48313
Madagascar,1465.344818
Malawi,1183.605235
Malaysia,26950.33532
Maldives,12770.27132
Mali,2028.157518
Malta,33995.1833
Marshall Islands,3910.915398
Mauritius,20085.1709
Mexico,16988.383
"Micronesia, Fed. Sts.",3496.715225
Moldova,5048.967871
Mongolia,12220.78134
Montenegro,16050.16431
Morocco,7841.484355
Mozambique,1192.175329
Myanmar,5249.744742
Namibia,10411.35703
Nauru,13064.54523
Nepal,2462.07461
Netherlands,49587.00519
New Zealand,37575.93055
Nicaragua,5200.299685
Niger,955.4833237
Nigeria,6003.890071
Norway,62083.86257
Oman,39971.09273
Pakistan,5010.813994
Palau,15317.16622
Panama,22237.23826
Paraguay,9198.498534
Peru,12529.22863
Philippines,7387.317593
Poland,26862.26833
Portugal,29717.69397
Qatar,141542.6628
Romania,22124.3433
Russian Federation,25186.16956
Rwanda,1762.314126
Samoa,5934.874655
Sao Tome and Principe,3218.5736
Saudi Arabia,53538.79043
Senegal,2420.794877
Serbia,14111.90131
Seychelles,27177.17408
Sierra Leone,1569.318744
Singapore,85382.30227
Slovak Republic,29931.24697
Slovenia,31990.47623
Solomon Islands,2200.934181
South Africa,13195.46542
South Sudan,1853.798627
Spain,34727.14651
Sri Lanka,11762.77758
St. Kitts and Nevis,25088.1606
St. Lucia,10944.33413
St. Vincent and the Grenadines,11139.63747
Sudan,4387.896396
Suriname,16702.65923
Swaziland,8647.786149
Sweden,47861.96529
Switzerland,62557.49131
Tajikistan,2833.654846
Tanzania,2672.509161
Thailand,16340.02857
Timor-Leste,2399.014386
Togo,1460.34491
Tonga,5534.831912
Trinidad and Tobago,33308.52041
Tunisia,11467.06628
Turkey,20008.91438
Turkmenistan,16532.48594
Tuvalu,3926.173454
Uganda,1850.99241
Ukraine,7939.61402
United Arab Emirates,69970.81534
United Kingdom,41801.04948
United States,56115.71843
Uruguay,21243.7538
Uzbekistan,6086.522181
Vanuatu,2987.918632
Vietnam,6034.259949
West Bank and Gaza,5020.119619
"Yemen, Rep.",2820.80187
Zambia,3835.503778
Zimbabwe,1786.583862
